date,Random Forest,avg_wind_speed_all_stations,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed
time,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
2022-12-02,1.77644e+07,5.84692,5.74731,64.2959,199.885
2022-12-03,2.07943e+07,6.28667,6.18921,75.9784,248.463
2022-12-04,2.07905e+07,6.11458,6.00999,75.9621,228.613
2022-12-05,1.31596e+07,5.32,5.15105,45.8677,150.569
2022-12-06,7.25669e+06,4.0245,3.40307,343.085,65.1832
2022-12-07,1.57608e+07,5.26917,5.04971,323.471,146.294
2022-12-08,4.08651e+06,3.68242,2.59585,296.99,49.9343
2022-12-09,622601,2.42325,2.05347,183.659,14.2297
2022-12-10,4.34873e+06,3.58233,3.21308,202.983,45.9725
2022-12-11,4.6479e+06,3.93442,3.87785,182.595,60.9033
2022-12-12,2.77321e+06,3.23342,3.03336,172.691,33.8053
2022-12-13,2.48448e+06,3.23067,2.50243,144.268,33.7191
2022-12-14,1.04451e+06,2.58858,0.484379,73.985,17.3455
2022-12-15,6.61256e+06,4.22275,2.4516,273.071,75.2985
2022-12-16,2.44293e+06,3.23708,1.69776,43.3602,33.9205
2022-12-17,1.03851e+07,5.226,5.16336,182.895,142.728
2022-12-18,1.51269e+07,5.89583,5.73251,158.714,204.944
2022-12-19,5.07752e+07,9.15883,9.02951,194.364,768.282
2022-12-20,2.72213e+07,7.20517,6.93235,206.499,374.052
2022-12-21,1.54295e+07,5.55775,5.48346,210.547,171.671
2022-12-22,1.07988e+07,4.62283,3.92957,228.459,98.7927
2022-12-23,7.22402e+06,4.40108,1.80717,233.334,85.2469
2022-12-24,1.90406e+07,6.29858,5.70115,233.4,249.878
2022-12-25,8.0054e+06,4.63608,4.52464,191.154,99.6446
2022-12-26,2.54431e+07,7.90633,7.05411,249.169,494.226
2022-12-27,2.91882e+07,7.92033,7.02903,229.374,496.856
2022-12-28,6.2617e+07,10.8536,10.6789,211.176,1278.56
2022-12-29,6.69595e+07,10.7657,10.5869,228.134,1247.74
2022-12-30,4.99842e+07,9.82183,8.9994,203.922,947.497
2022-12-31,7.19016e+07,10.7975,10.7318,222.299,1258.84
